,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,000001.XSHE,000001,平安银行,XSHE,2017-01-03,9.1,9.1,9.11,9.18,9.09,9.16,45984049,420595176.46,13730,0.0031,0.9697020054,134021612464,157280968424,0.0066,6.885,6.3017,0.7934,1,9.147
1,000001.XSHE,000001,平安银行,XSHE,2017-01-04,9.16,9.16,9.15,9.18,9.14,9.16,44932953,411503444.03,11850,0.0031,0.9697020054,134021612464,157280968424,0.0,6.885,6.3017,0.7934,1,9.158
2,000001.XSHE,000001,平安银行,XSHE,2017-01-05,9.16,9.16,9.17,9.18,9.15,9.17,34437291,315769693.5,11764,0.0024,0.9697020054,134167924268,157452672538,0.0011,6.8925,6.3085,0.7943,1,9.169
3,000001.XSHE,000001,平安银行,XSHE,2017-01-06,9.17,9.17,9.17,9.17,9.11,9.13,35815420,327176433.93,14671,0.0024,0.9697020054,133582677052,156765856082,-0.0044,6.8625,6.281,0.7908,1,9.135
4,000001.XSHE,000001,平安银行,XSHE,2017-01-09,9.13,9.13,9.13,9.17,9.11,9.15,36108157,329994604.0,12975,0.0021,0.9697020054,154799605755,157109264310,0.0022,6.8775,6.2948,0.7926,1,9.139
5,000001.XSHE,000001,平安银行,XSHE,2017-01-10,9.15,9.15,9.15,9.16,9.14,9.15,24105395,220575131.96,7675,0.0014,0.9697020054,154799605755,157109264310,0.0,6.8775,6.2948,0.7926,1,9.15
6,000001.XSHE,000001,平安银行,XSHE,2017-01-11,9.15,9.15,9.14,9.17,9.13,9.14,30343089,277553207.26,10373,0.0018,0.9697020054,154630425858,156937560196,-0.0011,6.87,6.2879,0.7917,1,9.147
7,000001.XSHE,000001,平安银行,XSHE,2017-01-12,9.14,9.14,9.13,9.17,9.13,9.15,42800677,391869402.76,10975,0.0025,0.9697020054,154799605755,157109264310,0.0011,6.8775,6.2948,0.7926,1,9.156
8,000001.XSHE,000001,平安银行,XSHE,2017-01-13,9.15,9.15,9.14,9.19,9.12,9.16,43430137,397601906.25,11244,0.0026,0.9697020054,154968785652,157280968424,0.0011,6.885,6.3017,0.7934,1,9.155
9,000001.XSHE,000001,平安银行,XSHE,2017-01-16,9.16,9.16,9.15,9.16,9.07,9.14,68316586,623025820.27,17210,0.004,0.9697020054,154630425858,156937560196,-0.0022,6.87,6.2879,0.7917,1,9.12
10,000001.XSHE,000001,平安银行,XSHE,2017-01-17,9.14,9.14,9.12,9.16,9.1,9.15,54555237,498179703.17,12922,0.0032,0.9697020054,154799605755,157109264310,0.0011,6.8775,6.2948,0.7926,1,9.132
11,000001.XSHE,000001,平安银行,XSHE,2017-01-18,9.15,9.15,9.14,9.19,9.13,9.17,57426939,526426595.69,12412,0.0034,0.9697020054,155137965549,157452672538,0.0022,6.8925,6.3085,0.7943,1,9.167
12,000001.XSHE,000001,平安银行,XSHE,2017-01-19,9.17,9.17,9.15,9.24,9.15,9.18,43771286,402445639.34,11850,0.0026,0.9697020054,155307145446,157624376652,0.0011,6.9,6.3154,0.7952,1,9.194
13,000001.XSHE,000001,平安银行,XSHE,2017-01-20,9.18,9.18,9.17,9.23,9.17,9.22,39332857,361865155.13,10384,0.0023,0.9697020054,155983865034,158311193108,0.0044,6.9301,6.3429,0.7986,1,9.2
14,000001.XSHE,000001,平安银行,XSHE,2017-01-23,9.22,9.22,9.22,9.26,9.2,9.22,42029931,388019072.56,11143,0.0025,0.9697020054,155983865034,158311193108,0.0,6.9301,6.3429,0.7986,1,9.232
15,000001.XSHE,000001,平安银行,XSHE,2017-01-24,9.22,9.22,9.23,9.28,9.2,9.27,47024408,434787729.13,12076,0.0028,0.9697020054,156829764519,159169713678,0.0054,6.9677,6.3773,0.803,1,9.246
16,000001.XSHE,000001,平安银行,XSHE,2017-01-25,9.27,9.27,9.27,9.28,9.25,9.26,30440196,281976294.07,8545,0.0018,0.9697020054,156660584622,158998009564,-0.0011,6.9602,6.3705,0.8021,1,9.263
17,000001.XSHE,000001,平安银行,XSHE,2017-01-26,9.26,9.26,9.27,9.34,9.26,9.33,42071258,391844286.24,12513,0.0025,0.9697020054,157844843901,160199938362,0.0076,7.0128,6.4186,0.8082,1,9.314
18,000001.XSHE,000001,平安银行,XSHE,2017-02-03,9.33,9.33,9.34,9.36,9.23,9.26,31547224,292617943.26,10579,0.0019,0.9697020054,156660584622,158998009564,-0.0075,7.0356,7.0356,0.7865,1,9.276
19,000001.XSHE,000001,平安银行,XSHE,2017-02-06,9.26,9.26,9.26,9.32,9.26,9.31,51678611,480441331.04,12486,0.0031,0.9697020054,157506484107,159856530134,0.0054,6.9977,6.4049,0.8064,1,9.297
20,000001.XSHE,000001,平安银行,XSHE,2017-02-07,9.31,9.31,9.31,9.32,9.27,9.3,39688497,368755274.2,13553,0.0023,0.9697020054,157337304210,159684826020,-0.0011,6.9902,6.398,0.8056,1,9.291
21,000001.XSHE,000001,平安银行,XSHE,2017-02-08,9.3,9.3,9.29,9.3,9.24,9.3,36027242,333975401.82,12304,0.0021,0.9697020054,157337304210,159684826020,0.0,6.9902,6.398,0.8056,1,9.27
22,000001.XSHE,000001,平安银行,XSHE,2017-02-09,9.3,9.3,9.3,9.33,9.28,9.31,34285513,319201023.28,10575,0.002,0.9697020054,157506484107,159856530134,0.0011,6.9977,6.4049,0.8064,1,9.31
23,000001.XSHE,000001,平安银行,XSHE,2017-02-10,9.31,9.31,9.32,9.36,9.31,9.33,48274323,450701345.31,11581,0.0029,0.9697020054,157844843901,160199938362,0.0021,7.0128,6.4186,0.8082,1,9.336
24,000001.XSHE,000001,平安银行,XSHE,2017-02-13,9.33,9.33,9.34,9.44,9.33,9.41,63836475,599951024.32,18685,0.0038,0.9697020054,159198283077,161573571274,0.0086,7.0729,6.4736,0.8151,1,9.398
25,000001.XSHE,000001,平安银行,XSHE,2017-02-14,9.41,9.41,9.41,9.42,9.37,9.4,36240460,340318431.4,12457,0.0021,0.9697020054,159029103180,161401867160,-0.0011,7.0654,6.4668,0.8142,1,9.391
26,000001.XSHE,000001,平安银行,XSHE,2017-02-15,9.4,9.4,9.4,9.54,9.39,9.45,75661306,716759655.28,21974,0.0045,0.9697020054,159875002665,162260387730,0.0053,7.103,6.5012,0.8186,1,9.473
27,000001.XSHE,000001,平安银行,XSHE,2017-02-16,9.45,9.45,9.45,9.5,9.42,9.46,41116113,388636225.2,10599,0.0024,0.9697020054,160044182562,162432091844,0.0011,7.1105,6.508,0.8194,1,9.452
28,000001.XSHE,000001,平安银行,XSHE,2017-02-17,9.46,9.46,9.46,9.49,9.37,9.39,42377497,400161795.09,15274,0.0025,0.9697020054,158859923283,161230163046,-0.0074,7.0579,6.4599,0.8134,1,9.443
29,000001.XSHE,000001,平安银行,XSHE,2017-02-20,9.39,9.39,9.4,9.58,9.4,9.56,89875539,855710805.5,26562,0.0053,0.9697020054,161735981532,164149132984,0.0181,7.1857,6.5768,0.8281,1,9.521
30,000001.XSHE,000001,平安银行,XSHE,2017-02-21,9.56,9.56,9.55,9.62,9.54,9.57,64658421,618761069.26,16710,0.0038,0.9697020054,161905161429,164320837098,0.001,7.1932,6.5837,0.8289,1,9.57
31,000001.XSHE,000001,平安银行,XSHE,2017-02-22,9.57,9.57,9.57,9.57,9.5,9.57,46296611,441528339.71,13305,0.0027,0.9697020054,161905161429,164320837098,0.0,7.1932,6.5837,0.8289,1,9.537
32,000001.XSHE,000001,平安银行,XSHE,2017-02-23,9.57,9.57,9.55,9.57,9.48,9.51,33532781,319293836.59,12405,0.002,0.9697020054,160890082047,163290612414,-0.0063,7.1481,6.5424,0.8238,1,9.522
33,000001.XSHE,000001,平安银行,XSHE,2017-02-24,9.51,9.51,9.5,9.54,9.48,9.5,33250014,316020789.4,10381,0.002,0.9697020054,160720902150,163118908300,-0.0011,7.1406,6.5356,0.8229,1,9.504
34,000001.XSHE,000001,平安银行,XSHE,2017-02-27,9.5,9.5,9.5,9.5,9.42,9.43,40734112,384781015.65,14036,0.0024,0.9697020054,159536642871,161916979502,-0.0074,7.0879,6.4874,0.8168,1,9.446
35,000001.XSHE,000001,平安银行,XSHE,2017-02-28,9.43,9.43,9.43,9.51,9.42,9.48,36971970,350366892.5,11217,0.0022,0.9697020054,160382542356,162775500072,0.0053,7.1255,6.5218,0.8212,1,9.477
